carat,cut,color,clarity,depth,table,price,x
0.7419373447293773,4,18,1,62.0,55.0,8.46252579007393,6.61
0.8285518175661483,4,18,2,62.6,56.0,8.76795190976342,6.96
0.7884573603642702,3,17,2,61.1,58.0,8.614501373883236,6.88
0.9162907318741551,4,20,2,60.9,56.0,9.079206103951382,7.43
0.6418538861723948,2,20,3,61.7,57.0,8.410498452745275,6.17
0.2776317365982795,4,19,7,61.7,54.0,6.823286122355687,4.39
0.262364264467491,2,18,7,62.9,58.0,6.672032945461067,4.26
0.4762341789963716,4,21,5,61.3,54.0,7.945909598613133,5.51
1.1019400787607843,3,19,1,61.2,57.2,9.836599606994497,8.08
0.27002713721306015,4,17,4,61.2,55.0,6.230481447578482,4.37
0.49469624183610705,4,18,2,61.7,55.0,7.53955882930103,5.54
0.3435897043900769,4,21,3,61.6,55.0,6.841615476477592,4.75
0.41871033485818504,4,20,4,62.0,57.0,7.5352967024440884,5.16
0.262364264467491,3,19,7,61.0,62.0,6.863803391452954,4.34
0.6981347220709844,1,18,1,64.1,56.0,8.043020885298283,6.37
1.1019400787607843,3,17,2,61.5,60.0,9.711115659888671,8.12
0.2776317365982795,4,19,7,60.5,57.0,6.86171134048073,4.42
0.9202827531436926,4,17,2,61.1,59.0,9.029178142902074,7.4
1.252762968495368,0,19,0,65.1,59.0,9.072456664612796,8.55
0.5306282510621704,4,19,2,61.9,58.0,7.850882664809852,5.66
0.29266961396282,4,17,4,62.0,56.0,6.320768294250582,4.5
0.9932517730102833,4,19,6,61.0,56.0,9.822602823795664,7.67
0.7884573603642702,4,20,3,62.3,55.0,9.046290859969677,6.83
0.3001045924503381,3,21,3,62.1,59.0,6.892641641172089,4.49
0.3074846997479606,2,19,5,59.5,56.0,6.755768921984255,4.68
0.44468582126144574,4,19,5,61.6,55.0,7.633853559681768,5.32
0.23901690047049992,4,18,4,62.3,56.0,6.142037405587356,4.15
0.2851789422336624,4,19,7,61.7,55.0,6.959398512133975,4.47
0.3220834991691133,2,22,2,59.7,60.0,6.598509028614515,4.66
0.4054651081081644,2,18,2,62.9,58.0,6.974478911025045,5.01
0.7929925155296614,3,18,3,60.8,62.0,8.60557030203365,6.82
0.2851789422336624,3,19,2,62.3,59.0,6.20050917404269,4.39
0.27002713721306015,4,22,4,61.6,54.0,6.546785410760524,4.33
0.4054651081081644,3,19,5,61.6,60.0,7.568379267836522,5.13
0.41871033485818504,3,21,4,61.7,58.0,7.506591780070841,5.17
0.3220834991691133,4,21,4,62.2,54.1,7.033506484287697,4.63
0.9932517730102833,3,17,3,60.7,59.0,9.351839934249883,7.63
0.262364264467491,3,18,4,61.0,58.0,6.516193076042964,4.31
0.2151113796169455,4,18,3,61.1,56.0,5.971261839790462,3.99
0.43178241642553783,4,22,2,60.8,57.0,7.488293515159428,5.31
