depth,table,x,cut_enc,color_enc,clarity_enc,log_price,log_carat
62.0,55.0,6.61,4,18,1,8.462314529906248,0.09531017980432493
62.6,56.0,6.96,4,18,2,8.767796255626598,0.25464221837358075
61.1,58.0,6.88,3,17,2,8.61431990214696,0.1823215567939546
60.9,56.0,7.43,4,20,2,9.079092085366229,0.4054651081081644
61.7,57.0,6.17,2,20,3,8.41027590907016,-0.10536051565782628
61.7,54.0,4.39,4,19,7,6.822197390620491,-1.1394342831883648
62.9,58.0,4.26,2,18,7,6.670766320845874,-1.2039728043259361
61.3,54.0,5.51,4,21,5,7.945555428253489,-0.4942963218147801
61.2,55.0,4.37,4,17,4,6.2285110035911835,-1.171182981502945
61.7,55.0,5.54,4,18,2,7.539027055823995,-0.4462871026284195
61.6,55.0,4.75,4,21,3,6.840546529288687,-0.8915981192837836
62.0,57.0,5.16,4,20,4,7.534762657037537,-0.6539264674066639
61.0,62.0,4.34,3,19,7,6.862757913051401,-1.2039728043259361
64.1,56.0,6.37,1,18,1,8.042699496897637,0.009950330853168092
60.5,57.0,4.42,4,19,7,6.860663671448287,-1.1394342831883648
61.1,59.0,7.4,4,17,2,9.02905827475689,0.412109650826833
61.9,58.0,5.66,4,19,2,7.8504931808711405,-0.35667494393873245
62.0,56.0,4.5,4,17,4,6.318968113746434,-1.0788096613719298
62.3,55.0,6.83,4,20,3,9.04617302576227,0.1823215567939546
62.1,59.0,4.49,3,21,3,6.891625897052253,-1.0498221244986778
59.5,56.0,4.68,2,19,5,6.754604099487962,-1.0216512475319814
61.6,55.0,5.32,4,19,5,7.633369649679584,-0.579818495252942
62.3,56.0,4.15,4,18,4,6.139884552226255,-1.3093333199837622
61.7,55.0,4.47,4,19,7,6.9584483932976555,-1.1086626245216111
59.7,60.0,4.66,2,22,2,6.597145701886651,-0.9675840262617056
62.9,58.0,5.01,2,18,2,6.97354301952014,-0.6931471805599453
60.8,62.0,6.82,3,18,3,8.605387202152153,0.1906203596086497
62.3,59.0,4.39,3,19,2,6.198478716492308,-1.1086626245216111
61.6,54.0,4.33,4,22,4,6.54534966033442,-1.171182981502945
61.6,60.0,5.13,3,19,5,7.5678626054638825,-0.6931471805599453
61.7,58.0,5.17,3,21,4,7.506042178518122,-0.6539264674066639
62.2,54.1,4.63,4,21,4,7.0326242610280065,-0.9675840262617056
60.7,59.0,7.63,3,17,3,9.351753124926507,0.5306282510621704
61.0,58.0,4.31,3,18,4,6.51471269087253,-1.2039728043259361
61.1,56.0,3.99,4,18,3,5.968707559985366,-1.4271163556401458
60.8,57.0,5.31,4,22,2,7.487733761436444,-0.616186139423817
61.9,55.0,4.74,4,16,5,6.495265555937008,-0.916290731874155
64.0,54.0,6.28,2,17,3,8.463581421967588,0.0
60.5,56.0,5.82,4,20,4,8.231908243564177,-0.3285040669720361
60.3,56.0,4.8,4,20,6,7.166265974133638,-0.8915981192837836
62.0,54.0,4.34,4,22,4,6.742880635791903,-1.2039728043259361
61.3,57.0,4.25,4,19,7,6.476972362889683,-1.2729656758128873
60.7,58.0,4.37,3,19,6,6.704414354964107,-1.171182981502945
61.3,55.0,5.22,4,20,3,7.45182223652793,-0.6348782724359695
61.0,57.0,4.46,4,21,3,6.833031732786201,-1.1086626245216111
63.5,58.0,5.08,2,18,3,7.236339342754344,-0.6539264674066639
63.3,58.0,7.19,1,17,4,9.094929520464856,0.4054651081081644
61.9,58.0,7.9,3,19,1,9.109193189971226,0.6471032420585384
61.2,60.0,7.39,4,17,2,9.035510680940524,0.412109650826833
62.9,58.0,4.35,3,17,2,6.317164686747284,-1.1394342831883648
62.9,60.0,6.36,3,19,4,8.85209276347713,0.0
60.3,59.0,4.86,3,20,5,7.107425474110705,-0.8675005677047231
62.8,57.0,6.73,2,17,2,8.584103896698863,0.1906203596086497
59.3,58.0,5.45,2,19,2,7.349230824613334,-0.527632742082372
62.4,59.0,5.85,3,20,3,8.012349639327795,-0.2613647641344075
62.4,53.8,5.42,4,19,5,7.754052639035757,-0.4942963218147801
62.7,56.0,6.42,4,21,5,9.1834829178063,0.009950330853168092
60.1,60.0,6.47,2,22,2,8.454679286026995,0.0
62.1,57.0,4.8,4,19,5,7.005789019253503,-0.8675005677047231
62.2,56.0,5.83,4,18,2,7.930565854233965,-0.2613647641344075
60.9,56.0,5.24,2,19,4,7.400009517162692,-0.6348782724359695
62.5,57.0,6.82,4,19,4,9.060447282401565,0.19885085874516517
60.8,56.0,4.67,4,17,4,6.401917196727186,-0.9942522733438669
61.8,58.0,5.79,2,21,3,8.064636475774222,-0.3011050927839216
63.0,57.0,5.47,2,17,2,7.237059026124737,-0.4462871026284195
60.3,57.0,4.42,4,20,6,6.815639990074331,-1.1394342831883648
60.6,59.0,4.38,3,16,3,6.159095388491933,-1.2039728043259361
61.0,57.0,5.68,3,19,3,7.6255950721324535,-0.40047756659712525
61.5,56.0,4.82,4,22,2,6.721425700790643,-0.843970070294529
62.8,58.0,6.32,2,20,4,8.85352256068954,0.009950330853168092
61.2,59.0,7.41,2,16,2,8.916371914881694,0.43178241642553783
63.3,58.0,6.38,2,21,3,8.782015969721936,0.009950330853168092
62.5,59.0,6.72,3,19,4,8.994172434398399,0.1823215567939546
62.5,56.0,4.28,4,21,6,6.759255270663693,-1.2039728043259361
62.5,54.0,7.45,4,17,2,9.188912424562563,0.44468582126144574
61.1,55.0,4.42,4,19,5,6.593044534142437,-1.1394342831883648
61.9,55.0,5.22,4,21,3,7.502738210754851,-0.6348782724359695
62.2,56.0,5.74,4,21,2,7.934155233536322,-0.31471074483970024
60.4,58.0,4.75,2,20,4,6.7661917146603505,-0.916290731874155
61.2,57.0,5.37,4,22,2,7.416979621381154,-0.579818495252942
62.9,58.0,4.37,3,18,6,6.841615476477592,-1.1394342831883648
59.9,58.0,4.83,3,21,4,6.983789965258135,-0.8915981192837836
62.1,56.0,4.68,4,19,4,6.946975992135418,-0.9675840262617056
62.0,56.0,7.47,3,20,2,9.338733586744581,0.4252677354043441
61.1,61.0,6.51,3,18,1,8.321907968230423,0.01980262729617973
58.8,56.0,5.79,2,21,3,7.813187267521416,-0.35667494393873245
63.0,59.0,6.48,3,18,1,8.350902451694811,0.04879016416943204
60.8,55.0,4.03,4,20,6,6.519147287940395,-1.4271163556401458
62.6,57.0,6.2,2,22,1,8.346167594364134,-0.07257069283483537
61.4,58.0,4.42,3,18,6,6.841615476477592,-1.1394342831883648
61.0,60.0,5.12,3,21,3,7.412160334945205,-0.6733445532637656
60.9,59.0,6.69,3,19,2,8.317766166719343,0.10436001532424286
62.8,62.0,6.09,3,18,2,8.127699852817772,-0.10536051565782628
61.5,53.0,5.74,4,17,1,7.43955930913332,-0.35667494393873245
61.1,58.0,6.84,2,22,1,8.72534492491121,0.17395330712343798
62.5,59.0,4.28,3,21,2,6.26530121273771,-1.2039728043259361
60.6,58.0,4.31,4,22,3,6.507277712385012,-1.2039728043259361
62.5,54.0,5.22,4,16,2,6.871091294610546,-0.616186139423817
61.2,58.0,6.67,3,19,1,8.314832179284556,0.11332868530700327
62.4,58.0,4.28,3,20,5,6.851184927493743,-1.2039728043259361
60.1,60.0,5.78,3,21,2,7.844632644464681,-0.342490308946776
61.5,57.0,5.23,4,19,4,7.47477218239787,-0.5978370007556204
63.6,60.0,5.1,1,17,2,6.9782137426306985,-0.6539264674066639
61.1,58.0,6.85,3,22,3,9.22631214148588,0.1823215567939546
62.8,57.0,5.73,4,21,2,7.911324018963353,-0.31471074483970024
62.2,57.0,4.84,4,17,6,6.875232087276577,-0.843970070294529
62.5,57.0,6.6,4,18,2,8.46884293047519,0.09531017980432493
61.4,55.0,5.82,4,18,2,8.022896869601457,-0.2744368457017603
64.0,56.0,5.65,2,19,4,7.874739125171811,-0.342490308946776
60.3,54.0,6.53,4,16,1,7.965198290612176,0.01980262729617973
61.0,56.0,4.56,4,19,6,6.93537044601511,-1.0498221244986778
63.7,57.0,4.44,1,18,2,6.194405391104672,-1.0788096613719298
60.9,57.0,5.14,4,20,3,7.466799475018602,-0.6931471805599453
62.8,59.0,5.76,3,21,4,8.118802996980035,-0.3011050927839216
60.1,60.0,6.73,3,19,2,8.571870752706934,0.10436001532424286
60.8,59.0,4.39,3,18,7,6.855408798609928,-1.171182981502945
62.0,54.0,4.72,4,18,6,6.92461239604856,-0.916290731874155
61.5,56.0,5.11,4,21,4,7.471932078245122,-0.6733445532637656
61.6,57.0,7.34,4,17,3,9.143345503151904,0.412109650826833
64.5,55.0,6.24,0,22,3,8.469052816088302,-0.09431067947124129
62.2,60.0,5.15,3,22,3,7.266128779556451,-0.6931471805599453
61.5,58.0,4.6,3,19,4,6.863803391452954,-0.9942522733438669
58.8,58.0,6.52,2,19,4,8.821289805136113,0.009950330853168092
61.5,56.0,5.83,4,16,2,7.955074273262696,-0.2876820724517809
59.6,58.0,5.36,3,21,3,7.630946580890459,-0.6348782724359695
60.8,56.0,6.22,4,22,1,8.340933226000878,-0.11653381625595151
63.6,58.0,6.14,1,17,6,8.322151070212902,-0.10536051565782628
60.7,61.0,5.04,3,18,4,7.146772179452637,-0.7339691750802004
61.1,55.0,6.21,2,19,1,8.144679183447758,-0.10536051565782628
58.8,62.0,6.32,3,18,0,7.377133712833954,-0.10536051565782628
62.2,63.0,5.23,2,22,2,7.228388451573604,-0.579818495252942
61.9,55.0,5.15,4,19,3,7.368970402194793,-0.6539264674066639
62.2,57.0,5.78,4,21,5,8.31434234336979,-0.3011050927839216
62.3,58.0,5.94,3,22,4,8.36264243156764,-0.21072103131565253
62.9,57.0,5.71,4,20,2,7.7752758464868625,-0.342490308946776
59.6,62.0,6.95,3,16,1,8.281723990411392,0.1823215567939546
61.4,60.0,4.34,3,20,3,6.654152520183219,-1.2039728043259361
60.0,58.0,4.55,3,17,2,6.3784261836515865,-1.0788096613719298
61.7,56.0,6.89,4,22,3,9.262743050769231,0.19885085874516517
63.9,57.0,4.86,1,21,2,6.968850378341948,-0.7985076962177716
61.9,62.0,6.45,3,18,3,8.424858580213442,0.009950330853168092
63.7,58.0,7.06,1,16,1,8.433376705323127,0.3220834991691132
61.2,56.0,6.25,4,20,3,8.666474894131992,-0.08338160893905101
62.7,59.0,6.19,3,21,4,8.51097389160232,-0.09431067947124129
60.8,55.0,6.94,2,21,1,8.711607995897575,0.22314355131420976
61.5,55.0,4.8,4,17,3,6.616065185132817,-0.8915981192837836
60.7,57.0,4.81,4,17,5,6.795705775173514,-0.8915981192837836
60.6,57.0,5.19,4,21,2,7.1308988302963465,-0.6931471805599453
61.0,58.0,4.34,3,22,3,6.814542897259958,-1.2039728043259361
61.0,58.0,4.44,3,19,5,6.62273632394984,-1.1086626245216111
62.4,58.0,7.01,3,17,4,8.459352191726387,0.27763173659827955
62.8,57.0,7.39,4,17,1,8.90720619496548,0.45107561936021673
61.9,60.0,3.9,2,22,5,6.22455842927536,-1.4696759700589417
60.9,58.0,6.63,3,20,4,8.994296557777195,0.08617769624105241
63.6,59.0,6.15,1,19,1,8.096208271650037,-0.09431067947124129
61.5,56.0,7.0,4,19,1,8.748304912379623,0.22314355131420976
59.1,61.0,4.33,2,22,5,6.396929655216146,-1.2378743560016174
60.6,56.0,6.45,2,22,3,8.853808274977197,0.009950330853168092
60.2,59.0,5.36,3,19,2,7.273092595999522,-0.579818495252942
62.7,58.0,5.39,4,19,6,7.841492924460013,-0.4942963218147801
63.1,58.0,5.64,1,17,5,7.794823152179389,-0.342490308946776
61.5,57.0,4.52,4,22,6,7.062191632286556,-1.0498221244986778
61.3,56.0,4.52,4,19,7,6.881411303642535,-1.0788096613719298
59.8,58.0,7.61,3,16,2,8.942983665985647,0.4574248470388755
60.7,56.0,6.58,4,21,3,8.810459642161918,0.01980262729617973
59.5,63.0,4.32,2,19,2,6.352629396319567,-1.2039728043259361
62.1,54.0,5.68,4,20,3,7.930206206684683,-0.342490308946776
64.2,55.0,6.28,2,17,2,8.406261630708956,0.009950330853168092
60.5,57.0,6.51,4,19,3,8.757154527656606,0.01980262729617973
62.5,59.0,4.69,3,20,4,6.956545443151569,-0.916290731874155
60.7,58.0,4.4,3,20,6,7.118826249062078,-1.1394342831883648
59.2,62.6,5.85,1,22,6,8.360305435879093,-0.3011050927839216
61.3,56.0,5.74,4,20,4,8.231908243564177,-0.3285040669720361
61.9,55.0,5.82,4,18,2,8.010027528481734,-0.2876820724517809
60.5,58.0,7.0,3,17,1,8.549853973655786,0.22314355131420976
62.0,61.0,5.11,2,21,4,7.400009517162692,-0.6733445532637656
62.2,54.5,4.38,4,17,5,6.340359303727752,-1.1394342831883648
62.3,54.0,5.25,4,18,7,7.552237287560802,-0.5978370007556204
62.6,56.0,6.45,4,21,4,9.053101595549691,0.01980262729617973
61.2,53.0,6.88,4,20,3,9.058121158998672,0.1823215567939546
60.3,54.0,6.59,3,21,6,9.223651386035854,0.0
62.0,58.0,4.25,4,18,2,6.008813185442595,-1.2039728043259361
60.3,58.0,5.35,3,19,1,7.078341579557671,-0.5978370007556204
62.6,55.0,4.39,4,22,2,6.628041376179533,-1.1394342831883648
60.1,61.0,7.04,3,19,3,9.001222992395064,0.23111172096338664
62.5,56.0,6.85,4,20,1,8.782322859397507,0.19885085874516517
63.2,56.0,6.04,4,17,2,8.090708716083997,-0.12783337150988489
60.9,57.0,5.21,4,21,3,7.4318919168078,-0.6539264674066639
